"Story","Title","Result","Date","Stability","Duration (s)"
"Login by user","A entering of incorrect credentials should not open application","SUCCESS","2014-08-14T13:01:16.717Z","0.0","17.81"
"Login by admin","A entering of incorrect credentials should not open application","SUCCESS","2014-08-14T12:58:19.888Z","0.0","73.17"
"Login by admin","B entering of incorrect credentials should open application","SUCCESS","2014-08-14T12:59:33.066Z","0.0","5.39"
"Login by user","B entering of incorrect credentials should open application","SUCCESS","2014-08-14T13:01:34.536Z","0.0","4.4"
"External key","B external key update","SUCCESS","2014-08-14T12:58:56.210Z","0.0","6.35"
"External key","C external key deletion","SUCCESS","2014-08-14T12:59:02.576Z","0.0","4.89"
"Diagnose group","D diagnose group restoration","SUCCESS","2014-08-14T13:03:13.501Z","0.0","1.17"
"External key","D external key restoration","SUCCESS","2014-08-14T12:59:07.462Z","0.0","0.89"
"Procedure group","D procedure group restoration","SUCCESS","2014-08-14T13:03:39.376Z","0.0","0.74"
"Benefit category","Entering of correct credentials should open application","SUCCESS","2014-08-14T13:00:33.478Z","0.0","6.48"
"Termination reason","Entering of correct credentials should open application","SUCCESS","2014-08-14T13:02:00.998Z","0.0","5.17"
"Disenrollment reason","Entering of correct credentials should open application","SUCCESS","2014-08-14T13:00:04.464Z","0.0","5.08"
"Diagnoses","Entering of correct credentials should open application","SUCCESS","2014-08-14T13:00:22.998Z","0.0","11.79"
