"Story","Title","Result","Date","Stability","Duration (s)"
"Diagnose group","A diagnose group creation","ERROR","2014-08-14T13:01:06.257Z","0.0","55.91"
"External key","A external key creation","ERROR","2014-08-14T12:58:19.888Z","0.0","36.02"
"Procedure group","A procedure group creation","ERROR","2014-08-14T13:01:39.638Z","0.0","51.57"
"Product group","A product group creation","ERROR","2014-08-14T13:02:09.048Z","0.0","60.37"
"Service region","A service region creation","ERROR","2014-08-14T13:03:15.928Z","0.0","54.21"
"Diagnose group","B diagnose group update","ERROR","2014-08-14T13:02:02.171Z","0.0","38.5"
"Procedure group","B procedure group update","ERROR","2014-08-14T13:02:31.205Z","0.0","35.64"
"Product group","B product group update","ERROR","2014-08-14T13:03:09.414Z","0.0","32.82"
"Service region","B service region update","ERROR","2014-08-14T13:04:10.138Z","0.0","30.64"
"Benefit category","Benefit category creation","ERROR","2014-08-14T12:59:39.224Z","0.0","54.23"
"Benefit category","Benefit category deletion","ERROR","2014-08-14T13:00:33.467Z","0.0","0.01"
"Benefit category","Benefit category restoration","ERROR","2014-08-14T13:00:33.473Z","0.0","0.0"
"Benefit category","Benefit category update","ERROR","2014-08-14T13:00:33.459Z","0.0","0.0"
"Diagnose group","C diagnose group deletion","ERROR","2014-08-14T13:02:40.667Z","0.0","32.83"
"Procedure group","C procedure group deletion","ERROR","2014-08-14T13:03:06.847Z","0.0","32.53"
"Product group","C product group deletion","ERROR","2014-08-14T13:03:42.240Z","0.0","32.57"
"Service region","C service region deletion","ERROR","2014-08-14T13:04:40.779Z","0.0","30.51"
"Care type","Creation","ERROR","2014-08-14T13:02:36.180Z","0.0","45.5"
"Product group","D product group restoration","ERROR","2014-08-14T13:04:14.807Z","0.0","0.99"
"Service region","D service region restoration","ERROR","2014-08-14T13:05:11.287Z","0.0","30.53"
"Diagnoses","Diagnoses creation","ERROR","2014-08-14T12:58:19.888Z","0.0","61.88"
"Diagnoses","Diagnoses deletion","ERROR","2014-08-14T12:59:21.767Z","0.0","30.75"
"Diagnoses","Diagnoses restoration","ERROR","2014-08-14T12:59:52.515Z","0.0","30.48"
"Diagnoses","Diagnoses update","ERROR","2014-08-14T13:00:34.791Z","0.0","30.47"
"Disenrollment reason","Disenrollment reason creation","ERROR","2014-08-14T13:00:41.196Z","0.0","34.28"
"Disenrollment reason","Disenrollment reason deletion","ERROR","2014-08-14T12:58:19.888Z","0.0","74.05"
"Disenrollment reason","Disenrollment reason restoration","ERROR","2014-08-14T12:59:33.939Z","0.0","30.52"
"Disenrollment reason","Disenrollment reason update","ERROR","2014-08-14T13:00:09.551Z","0.0","31.64"
"Termination reason","Termination reason creation","ERROR","2014-08-14T12:59:15.150Z","0.0","68.56"
"Termination reason","Termination reason deletion","ERROR","2014-08-14T13:00:55.927Z","0.0","33.9"
"Termination reason","Termination reason restoration","ERROR","2014-08-14T13:01:29.830Z","0.0","31.17"
"Termination reason","Termination reason update","ERROR","2014-08-14T13:00:23.713Z","0.0","32.21"
"Care type","delete","ERROR","2014-08-14T13:00:41.611Z","0.0","52.49"
"Care type","restore","ERROR","2014-08-14T13:02:05.035Z","0.0","31.14"
"Care type","update","ERROR","2014-08-14T13:01:34.103Z","0.0","30.93"
