"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Entering of correct credentials should open application","SUCCESS","2014-08-06T10:00:28.977Z","0.0","4.2"
"Login by user","Entering of correct credentials should open application","SUCCESS","2014-08-08T06:55:07.948Z","0.0","6.94"
"Product group","Entering of correct credentials should open application","SUCCESS","2014-08-07T20:19:00.237Z","0.0","34.1"
"Login with correct credentials","Entering of correct credentials should open application","SUCCESS","2014-08-06T13:05:59.508Z","0.0","4.39"
"Login with correct credentials","Entering of correct login incorrect password  should not open application","PENDING","2014-08-06T13:06:03.902Z","0.0","0.0"
"Search by keyword","Entering of correct login incorrect password  should not open application","PENDING","2014-08-06T10:00:09.610Z","0.0","0.07"
"Login by user","Entering of correct login incorrect password  should not open application","PENDING","2014-08-08T06:55:07.945Z","0.0","0.0"
"Search by keyword","Entering of incorrect credentials should not open application","SUCCESS","2014-08-06T10:00:09.936Z","0.0","19.03"
"Login by user","Entering of incorrect credentials should not open application","SUCCESS","2014-08-08T06:54:40.619Z","0.0","26.86"
"Login with correct credentials","Entering of incorrect credentials should not open application","SUCCESS","2014-08-06T13:05:14.462Z","0.0","44.4"
"Product group","Product group creation","SUCCESS","2014-08-08T06:54:40.618Z","0.0","50.02"
"Search by keyword","Searching by ambiguious keyword should display the disambiguation page","PENDING","2014-08-06T09:32:59.626Z","0.0","0.0"
"Search by keyword","Searching by keyword apple should display the corresponding article","SUCCESS","2014-08-06T09:31:33.521Z","0.0","75.66"
"Search by keyword","Searching by keyword banana should display the corresponding article","SUCCESS","2014-08-06T09:32:50.004Z","0.0","9.62"
